Date,Total Commits,Total Lines Added,Total Lines Deleted,Ai Lines Added,Ai Lines Deleted,Non Ai Lines Added,Non Ai Lines Deleted,Tab Lines Added,Tab Lines Deleted,Composer Lines Added,Composer Lines Deleted,Unique Repos,Unique Users
2025-08-28,29,6301,2717,1537,266,4764,2451,220,56,1317,210,13,9
2025-08-29,31,11380,1063,8864,336,2516,727,274,71,8590,265,9,8
2025-08-30,12,6663,612,5463,266,1200,346,37,6,5426,260,5,5
2025-08-31,9,2643,932,2610,289,33,643,0,0,2610,289,2,2
2025-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-02,55,9422,4068,4172,329,5250,3739,250,7,3922,322,11,12
2025-09-03,45,9837,1741,5076,1004,4761,737,98,11,4978,993,14,11
2025-09-04,50,10833,1997,8022,1171,2811,826,464,161,7558,1010,9,11
2025-09-05,39,5363,915,2606,401,2757,514,208,35,2398,366,11,9
2025-09-06,16,4691,316,1042,233,3649,83,366,12,676,221,3,3
2025-09-07,9,3559,973,3507,879,52,94,1,0,3506,879,2,2
2025-09-08,8,4162,685,2917,633,1245,52,32,2,2885,631,7,6
2025-09-09,19,1443,148,1383,112,60,36,40,14,1343,98,6,4
2025-09-10,5,1998,139,1780,81,218,58,102,0,1678,81,3,4
2025-09-11,45,9002,1999,4759,204,4243,1795,242,28,4517,176,10,10
2025-09-12,15,4747,2290,1195,320,3552,1970,176,23,1019,297,8,8
2025-09-13,7,4064,544,583,69,3481,475,183,31,400,38,5,4
2025-09-14,2,510,34,45,2,465,32,35,1,10,1,2,2
2025-09-15,12,6199,175,4049,25,2150,150,168,1,3881,24,6,5
2025-09-16,24,4816,242,3048,110,1768,132,805,20,2243,90,7,6
2025-09-17,15,3851,811,1446,548,2405,263,29,65,1417,483,6,6
2025-09-18,14,1975,729,1498,362,477,367,88,20,1410,342,8,7
2025-09-19,22,3079,1269,1631,296,1448,973,104,22,1527,274,8,6
2025-09-20,1,389,0,364,0,25,0,9,0,355,0,1,1
2025-09-21,1,838,52,348,12,490,40,73,2,275,10,1,1
2025-09-22,9,302,190,129,84,173,106,26,10,103,74,6,4
2025-09-23,28,4056,1511,714,76,3342,1435,486,59,228,17,8,8
2025-09-24,13,2003,739,842,583,1161,156,65,2,777,581,6,5
2025-09-25,36,5382,914,3423,496,1959,418,612,46,2811,450,10,6
2025-09-26,36,16789,1156,15784,367,1005,789,68,13,15716,354,9,8
2025-09-27,4,3182,661,2756,163,426,498,46,28,2710,135,1,1
2025-09-28,5,1109,517,710,70,399,447,55,21,655,49,2,2
2025-09-29,33,5125,2354,2954,266,2171,2088,220,23,2734,243,10,9
2025-09-30,41,8528,3114,5388,1427,3140,1687,213,43,5175,1384,13,9
2025-10-01,49,13293,3478,6278,460,7015,3018,262,40,6016,420,12,8
2025-10-02,43,7313,2166,2984,726,4329,1440,265,54,2719,672,13,9
2025-10-03,20,9297,935,7494,480,1803,455,160,54,7334,426,7,7
2025-10-04,5,513,862,449,314,64,548,19,5,430,309,3,3
2025-10-05,14,6981,3877,6193,1448,788,2429,202,113,5991,1335,3,3
2025-10-06,35,5963,3625,2427,484,3536,3141,504,246,1923,238,12,9
2025-10-07,60,5272,2451,1656,807,3616,1644,328,107,1328,700,12,11
2025-10-08,22,7262,4440,2301,592,4961,3848,351,80,1950,512,9,7
2025-10-09,20,2559,2061,1712,758,847,1303,140,30,1572,728,7,5
2025-10-10,19,881,445,687,206,194,239,77,24,610,182,8,7
2025-10-11,1,683,1682,79,14,604,1668,35,11,44,3,1,1
2025-10-12,1,95,246,30,10,65,236,29,3,1,7,1,1
2025-10-13,26,5714,1684,382,36,5332,1648,291,19,91,17,7,6
2025-10-14,29,4188,877,482,75,3706,802,396,45,86,30,10,9
2025-10-15,57,4103,660,2085,96,2018,564,471,54,1614,42,7,5
2025-10-16,36,6156,2322,3532,1157,2624,1165,586,74,2946,1083,10,8
2025-10-17,30,5167,517,3233,141,1934,376,849,57,2384,84,10,6
2025-10-18,11,1725,1090,689,341,1036,749,101,0,588,341,2,1
2025-10-19,3,705,118,375,96,330,22,77,28,298,68,1,2
2025-10-20,45,6906,2112,2679,368,4227,1744,515,41,2164,327,13,10
2025-10-21,37,6475,1277,1631,443,4844,834,186,22,1445,421,14,9
2025-10-22,20,1481,324,658,74,823,250,203,17,455,57,11,7
2025-10-23,21,1860,395,1376,281,484,114,90,0,1286,281,7,7
2025-10-24,20,8030,629,7426,242,604,387,298,12,7128,230,8,6
2025-10-25,12,1938,563,648,55,1290,508,50,21,598,34,3,3
2025-10-26,2,204,214,20,8,184,206,18,8,2,0,1,1
2025-10-27,14,1129,250,792,46,337,204,51,12,741,34,5,4
2025-10-28,32,9892,714,5371,328,4521,386,105,29,5266,299,9,6
2025-10-29,24,6378,1723,2073,282,4305,1441,379,57,1694,225,8,7
2025-10-30,47,7210,1207,2185,325,5025,882,1039,65,1146,260,11,9
2025-10-31,40,6213,2648,3808,742,2405,1906,501,111,3307,631,11,9
2025-11-01,1,215,1,214,1,1,0,0,0,214,1,1,1
2025-11-02,2,272,66,166,31,106,35,59,6,107,25,1,1
2025-11-03,10,278,61,254,48,24,13,36,13,218,35,7,6
2025-11-04,24,2144,314,1076,177,1068,137,211,59,865,118,9,7
2025-11-05,34,3987,1309,3266,385,721,924,307,38,2959,347,9,9
2025-11-06,27,2694,1269,1905,667,789,602,248,89,1657,578,10,6
2025-11-07,27,1145,216,789,120,356,96,161,29,628,91,13,9
2025-11-08,6,2139,779,1753,90,386,689,112,27,1641,63,2,1
2025-11-09,2,210,127,148,62,62,65,1,0,147,62,1,1
2025-11-10,40,5751,600,2559,156,3192,444,882,61,1677,95,11,10
2025-11-11,26,6897,2892,4368,394,2529,2498,689,204,3679,190,12,10
2025-11-12,29,7295,1196,3298,460,3997,736,335,163,2963,297,10,8
2025-11-13,36,2885,1887,1858,300,1027,1587,110,27,1748,273,11,11
2025-11-14,53,9165,1538,6638,569,2527,969,1006,96,5632,473,9,6
2025-11-15,5,298,156,65,9,233,147,9,3,56,6,3,2
2025-11-16,3,162,204,125,143,37,61,8,4,117,139,2,2
2025-11-17,8,528,424,307,125,221,299,75,38,232,87,2,2
2025-11-18,43,14471,2154,11516,616,2955,1538,1075,282,10441,334,11,10
2025-11-19,45,6497,958,5356,619,1141,339,278,27,5078,592,13,9
2025-11-20,34,5196,851,5041,532,155,319,125,72,4916,460,7,5
2025-11-21,33,5011,1157,2768,812,2243,345,278,94,2490,718,11,9
2025-11-22,4,1903,230,1573,73,330,157,40,3,1533,70,2,2
2025-11-23,2,94,7,24,3,70,4,10,2,14,1,2,2
2025-11-24,33,5028,1351,2255,772,2773,579,192,78,2063,694,13,9
2025-11-25,43,9915,3044,3747,699,6168,2345,91,50,3656,649,15,11
2025-11-26,52,3616,1291,1128,168,2488,1123,447,55,681,113,15,12
2025-11-27,24,2029,339,1338,122,691,217,18,13,1320,109,13,7
2025-11-28,43,4060,900,3602,202,458,698,166,97,3436,105,15,9
2025-11-29,3,448,0,306,0,142,0,7,0,299,0,2,3
2025-11-30,2,113,45,47,23,66,22,47,23,0,0,1,1
2025-12-01,29,2466,582,1929,246,537,336,246,66,1683,180,12,9
2025-12-02,79,20290,2757,18071,1332,2219,1425,319,182,17752,1150,14,12
2025-12-03,40,3816,2870,2639,1252,1177,1618,220,213,2419,1039,15,12
2025-12-04,45,3335,2485,3016,672,319,1813,88,18,2928,654,14,9
2025-12-05,53,6332,2265,5497,1685,835,580,20,36,5477,1649,12,13
2025-12-06,11,3343,1069,1244,202,2099,867,2,0,1242,202,3,2
2025-12-07,3,1016,96,918,27,98,69,26,15,892,12,1,1
2025-12-08,42,8764,2380,5181,687,3583,1693,463,78,4718,609,12,8
2025-12-09,38,3670,716,3074,353,596,363,130,74,2944,279,15,12
2025-12-10,55,7156,1349,2743,185,4413,1164,101,19,2642,166,20,9
2025-12-11,59,3998,1300,1988,133,2010,1167,261,67,1727,66,14,11
2025-12-12,28,2276,529,1586,306,690,223,82,49,1504,257,10,10
2025-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-14,2,782,163,726,4,56,159,0,0,726,4,1,1
2025-12-15,11,4321,1779,1550,121,2771,1658,129,17,1421,104,7,7
2025-12-16,41,14232,4135,10438,436,3794,3699,236,110,10202,326,12,9
2025-12-17,37,4084,1861,2636,1041,1448,820,256,77,2380,964,15,11
2025-12-18,24,2326,460,1944,91,382,369,367,82,1577,9,9,8
2025-12-19,30,5062,1067,4312,847,750,220,31,7,4281,840,9,9
2025-12-20,1,356,370,5,1,351,369,3,1,2,0,1,1
2025-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-22,40,6609,1478,5332,444,1277,1034,640,56,4692,388,12,11
2025-12-23,40,5963,643,5190,339,773,304,723,22,4467,317,13,9
2025-12-24,18,2611,1506,1217,493,1394,1013,347,161,870,332,7,6
2025-12-25,2,493,682,59,36,434,646,32,28,27,8,1,1
2025-12-26,30,6261,2395,3344,816,2917,1579,408,94,2936,722,7,8
2025-12-27,5,1663,1354,215,114,1448,1240,133,53,82,61,2,2
2025-12-28,2,412,4,226,1,186,3,22,1,204,0,1,1
2025-12-29,30,9748,2730,6978,1055,2770,1675,369,174,6609,881,9,8
2025-12-30,22,5405,1284,4118,534,1287,750,313,45,3805,489,10,8
2025-12-31,22,5322,1763,3626,563,1696,1200,500,47,3126,516,5,6
2026-01-01,1,41,5,35,1,6,4,35,1,0,0,1,1
2026-01-02,13,11017,335,8932,204,2085,131,157,62,8775,142,5,5
2026-01-03,4,470,140,361,112,109,28,185,40,176,72,3,3
2026-01-04,4,1034,759,725,104,309,655,298,49,427,55,1,1
2026-01-05,22,2116,644,1645,293,471,351,321,121,1324,172,8,7
2026-01-06,56,3484,1918,1795,711,1689,1207,658,370,1137,341,16,10
2026-01-07,24,2196,2939,1304,454,892,2485,257,149,1047,305,9,8
2026-01-08,21,6063,1172,4036,653,2027,519,367,22,3669,631,15,9
2026-01-09,19,2491,431,1068,108,1423,323,45,9,1023,99,8,9
2026-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-11,1,65,1,42,1,23,0,2,0,40,1,1,1
2026-01-12,22,2685,1072,1300,817,1385,255,148,31,1152,786,10,9
2026-01-13,35,1525,317,1042,195,483,122,253,30,789,165,13,12
2026-01-14,28,5412,2013,4153,829,1259,1184,75,35,4078,794,10,10
2026-01-15,42,3151,469,1826,204,1325,265,103,18,1723,186,15,12
2026-01-16,30,3945,354,2601,117,1344,237,159,17,2442,100,13,9
2026-01-17,1,867,6,864,1,3,5,0,0,864,1,1,1
2026-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-19,43,8557,549,6371,249,2186,300,357,16,6014,233,14,14
2026-01-20,50,5786,1484,4932,1218,854,266,483,27,4449,1191,16,13
2026-01-21,45,11907,1711,7505,1504,4402,207,109,34,7396,1470,16,15
2026-01-22,54,5452,2828,3769,1788,1683,1040,405,86,3364,1702,15,14
2026-01-23,30,4432,632,3846,544,586,88,132,24,3714,520,11,12
2026-01-24,2,32,34,29,32,3,2,1,0,28,32,2,2
2026-01-25,1,1816,2,1792,1,24,1,0,0,1792,1,1,1
2026-01-26,61,6021,3013,4464,1655,1557,1358,286,200,4178,1455,11,14
2026-01-27,39,3103,2269,1573,924,1530,1345,402,163,1171,761,12,12
2026-01-28,39,2471,1269,768,441,1703,828,175,19,593,422,11,10
2026-01-29,70,9266,2811,5099,580,4167,2231,899,82,4200,498,19,19
2026-01-30,50,7848,2846,4430,421,3418,2425,323,199,4107,222,15,12
2026-01-31,1,38,62,38,61,0,1,0,0,38,61,1,1
2026-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-02,5,311,90,209,86,102,4,26,1,183,85,3,2
2026-02-03,23,4910,3805,1640,305,3270,3500,47,18,1593,287,8,7
2026-02-04,52,5521,693,4988,533,533,160,166,21,4822,512,13,11
2026-02-05,51,8786,1162,4478,860,4308,302,145,29,4333,831,11,10
2026-02-06,76,6761,1505,6066,1187,695,318,78,32,5988,1155,7,7
2026-02-07,1,144,67,144,67,0,0,0,0,144,67,1,1
2026-02-08,4,1356,203,1299,120,57,83,1,0,1298,120,1,1
2026-02-09,35,1240,665,746,321,494,344,156,71,590,250,9,10
2026-02-10,32,8947,686,7191,427,1756,259,268,7,6923,420,11,10
2026-02-11,21,2294,459,1626,221,668,238,197,62,1429,159,9,11
2026-02-12,46,6690,1051,4953,558,1737,493,1252,93,3701,465,12,12
2026-02-13,54,4425,3043,2266,1137,2159,1906,958,428,1308,709,15,13
2026-02-14,2,39,21,21,19,18,2,21,19,0,0,1,1
2026-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-16,24,1240,355,851,233,389,122,198,28,653,205,8,9
2026-02-17,18,1075,299,775,191,300,108,201,11,574,180,10,8
2026-02-18,57,3524,1670,2023,714,1501,956,585,131,1438,583,11,11
2026-02-19,19,1577,2773,1172,526,405,2247,119,200,1053,326,9,9
2026-02-20,30,5332,1569,3071,625,2261,944,406,37,2665,588,8,7
2026-02-21,1,1265,0,396,0,869,0,0,0,396,0,1,1
2026-02-22,8,611,130,611,126,0,4,0,0,611,126,2,2
2026-02-23,50,11162,3870,9744,2839,1418,1031,176,38,9568,2801,12,13
2026-02-24,69,18145,6889,16324,5889,1821,1000,261,31,16063,5858,15,14
2026-02-25,89,7037,3634,4285,1936,2752,1698,308,49,3977,1887,19,21
2026-02-26,22,2009,614,1235,155,774,459,169,19,1066,136,12,10
2026-02-27,27,2747,1170,1752,637,995,533,162,6,1590,631,10,9
2026-02-28,1,14,1,1,1,13,0,1,1,0,0,1,1
2026-03-01,7,1065,181,1048,97,17,84,0,0,1048,97,1,1
2026-03-02,19,1920,129,1853,104,67,25,215,12,1638,92,12,14
2026-03-03,25,1745,1406,978,178,767,1228,11,4,967,174,12,13
2026-03-04,2,137,19,2,3,135,16,0,3,2,0,1,1